ISIN,TimePeriod,ruleid,CapitalListed,High,Interest,IssuerID,LastRate,Low,MarketCap,MaturityDate,Name,OpeningPrice,SecurityID,SecurityType,Symbol,Transactions,Turnover,Volume,bool_var,errorcode,errorlevel
IL0011537250,2024-02-05,r1,191288900.0,99.68,4.17,1193,99.64,99.57,190600.0,2025-06-30,DIMRI        B8,99.66,1153725,Bonds,DIR.B8,66.0,105.25,105639.0,True,,
IL0011683682,2024-02-05,r1,268006549.0,94.46,2.58,1193,94.39,94.26,252971.0,2027-12-31,DIMRI        B9,94.46,1168368,Bonds,DIR.B9,80.0,162.33,171984.0,True,,
IL0011861627,2024-02-05,r1,437725000.0,95.38,4.0,1193,95.33,95.12,417283.0,2030-06-30,DIMRI B10,95.38,1186162,Bonds,DIR.B10,88.0,1108.18,1162014.0,True,,
IL0012028374,2024-02-05,r1,468220.0,828.0,,1193,814.9,828.0,3816.0,,DIMRI W3,814.8,1202837, Warrant,DIMRI.W3,1.0,0.02,2.0,True,,
IL0011734915,2024-02-05,r1,27437114.0,3352.0,,1867,3344.0,3263.0,917497.0,,DIPLOMAT HOLDI.,3263.0,1173491,Shares,DIPL,97.0,114.97,3456.0,True,,
IL0011712143,2024-02-05,r1,479440000.0,111.72,1.85,1675,111.57,111.37,534911.0,2025-12-31,DIRECT FINAN B3,111.72,1171214,Bonds,DIFI.B3,93.0,455.2,408072.0,True,,
IL0011756603,2024-02-05,r1,588890224.0,109.1,1.0,1675,109.0,108.76,641890.0,2026-02-01,DIRECT FINAN B4,109.02,1175660,Bonds,DIFI.B4,103.0,1040.86,954466.0,True,,
IL0011828311,2024-02-05,r1,1184058000.0,98.23,1.0,1675,98.12,98.01,1161798.0,2031-07-31,DIRECT FINAN B5,98.23,1182831,Bonds,DIFI.B5,106.0,1067.28,1087294.0,True,,
IL0011916595,2024-02-05,r1,1117010000.0,105.29,3.54,1675,105.25,105.09,1175653.0,2027-03-31,DIRECT FINAN B6,105.28,1191659,Bonds,DIFI.B6,162.0,1916.87,1821617.0,True,,
IL0011681868,2024-02-05,r1,2956844.0,49590.0,,1675,48410.0,47780.0,1431408.0,,DIRECT FINANCE,49400.0,1168186,Shares,DIFI,245.0,1777.86,3658.0,True,,
IL0074801551,2024-02-05,r1,276313507.0,98.43,1.87,748,98.39,98.35,271865.0,2024-12-05,DISCONT MAN B13,98.41,7480155,Bonds,DSMN.B13,25.0,344.64,350291.0,True,,
IL0074801635,2024-02-05,r1,2283553492.0,95.06,2.68,748,94.82,94.8,2165265.0,2030-12-05,DISCONT MAN B14,94.9,7480163,Bonds,DSMN.B14,219.0,2276.65,2399303.0,True,,
IL0074803045,2024-02-05,r1,4090470304.0,100.95,0.2,748,100.95,100.79,4129330.0,2032-08-15,DISCONT MAN B15,100.86,7480304,Bonds,DSMN.B15,234.0,4804.56,4762501.0,True,,
IL0012031576,2024-02-05,r1,1562634000.0,99.93,2.11,748,99.89,99.7,1560915.0,2035-03-20,DISCONT MAN B16,99.91,1203157,Bonds,DSMN.B16,14.0,814.81,815788.0,True,,
IL0012031659,2024-02-05,r1,107380400.0,0.0,,748,1004.6,0.0,1078743.0,2025-01-19,DISCONT MAN P3,1004.6,1203165,Bonds,DSMN.P3,0.0,0.0,0.0,True,,
IL0011912461,2024-02-05,r1,844500000.0,105.25,3.17,748,105.25,105.24,888836.0,2033-11-30,DISCOONT MAN B9,105.25,1191246,Bonds,DSN.B9,5.0,368.37,350000.0,True,,
IL0006912120,2024-02-05,r1,1237011293.0,1769.0,,691,1733.0,1730.0,21437406.0,,DISCOUNT,1752.0,691212,Shares,DSCT,2460.0,48112.88,2755142.0,True,,
IL0063903483,2024-02-05,r1,850754609.0,98.47,5.70026,639,98.37,98.31,836887.0,2026-12-30,DISCOUNT IN B10,98.47,6390348,Bonds,DISI.B10,61.0,767.17,779551.0,True,,
IL0063904051,2024-02-05,r1,382413262.0,92.25,4.30216,639,92.0,91.85,351820.0,2027-12-31,DISCOUNT IN B11,91.94,6390405,Bonds,DISI.B11,78.0,1134.09,1230682.0,True,,
IL0006390137,2024-02-05,r1,141522567.0,414.0,,639,412.5,407.0,583781.0,,DISCOUNT INV,407.0,639013,Shares,DISI,18.0,31.94,7743.0,True,,
IL0063902071,2024-02-05,r1,366908709.0,137.58,4.95,639,136.87,136.45,502188.0,2025-12-31,DISCOUNT INV B6,137.58,6390207,Bonds,DISI.B6,97.0,1480.2,1079473.0,True,,
IL0074801973,2024-02-05,r1,1331650000.0,109.3,1.46,748,109.23,109.23,1454561.0,2030-10-29,DISCOUNT MAN B6,109.01,7480197,Bonds,DSMN.B6,16.0,537.75,492274.0,True,,
IL0074802476,2024-02-05,r1,1514200000.0,112.74,2.42,748,112.7,112.5,1706503.0,2031-07-01,DISCOUNT MAN B7,112.41,7480247,Bonds,DSMN.B7,11.0,793.05,703714.0,True,,
IL0074803128,2024-02-05,r1,573100000.0,0.0,0.2,748,98.94,0.0,567025.0,2032-11-01,DISCOUNT MAN B8,98.94,7480312,Bonds,DSMN.B8,0.0,0.0,0.0,True,,
IL0011775181,2024-02-05,r1,8549964.0,0.0,,1924,144.8,0.0,12380.0,,DM3,144.8,1177518,Shares,DM3,0.0,0.0,0.0,True,,
IL0011038523,2024-02-05,r1,123164100.0,72.5,,1435,71.0,69.0,87447.0,,DNA GROUP,69.0,1103852,Shares,DNA,16.0,15.68,22074.0,True,,
IL0010932023,2024-02-05,r1,15826668.0,7189.0,,1072,7130.0,7001.0,1128441.0,,DOR ALON,7001.0,1093202,Shares,DRAL,22.0,72.42,1016.0,True,,
IL0011406563,2024-02-05,r1,119871917.0,99.1,2.95,1072,99.09,98.98,118781.0,2025-06-01,DOR ALON     B6,98.98,1140656,Bonds,DRAL.B6,70.0,92.38,93230.0,True,,
IL0011577009,2024-02-05,r1,487252200.0,98.21,3.29,1072,98.0,97.9,477507.0,2027-09-30,DOR ALON     B7,98.12,1157700,Bonds,DRAL.B7,138.0,1039.61,1060602.0,True,,
IL0011751992,2024-02-05,r1,130000000.0,98.82,0.6,1072,98.78,98.57,128414.0,2032-12-31,DOR ALON     B8,98.71,1175199,Bonds,DRAL.B8,111.0,501.97,508177.0,True,,
IL0011667685,2024-02-05,r1,177722867.0,800.0,,1801,764.0,760.3,1357803.0,,DORAL ENERGY,798.8,1166768,Shares,DORL,968.0,3269.76,420428.0,True,,
IL0011791345,2024-02-05,r1,846787280.0,100.84,1.58,1801,100.84,100.6,853900.0,2028-06-30,DOREL ENERGY B1,100.74,1179134,Bonds,DORL.B1,24.0,731.0,725699.0,True,,
IL0011394272,2024-02-05,r1,9864652.0,98.27,3.5,1312,98.27,98.27,9694.0,2024-12-31,DORSEL       B3,98.27,1139427,Bonds,DRSL.B3,1.0,1.56,1582.0,True,,
IL0011781288,2024-02-05,r1,135000000.0,91.6,2.41,1312,91.08,90.68,122958.0,2028-12-31,DORSEL       B4,91.21,1178128,Bonds,DRSL.B4,103.0,219.48,240525.0,True,,
IL0011906281,2024-02-05,r1,22553464.0,1101.0,,2397,1089.0,1074.0,245607.0,,DORSEL HOLD,1080.0,1190628,Shares,DRSH,62.0,71.6,6604.0,True,,
IL0004000100,2024-02-05,r1,8971133.0,19160.0,,400,18830.0,18710.0,1689264.0,,DUNIEC,18800.0,400010,Shares,DUNI,228.0,396.04,2093.0,True,,
IL0011987042,2024-02-05,r1,149992800.0,96.6,3.47,400,96.6,96.48,144893.0,2026-12-31,DUNIEC  B2,96.55,1198704,Bonds,DUNI.B2,7.0,132.97,137653.0,True,,
IL0003820102,2024-02-05,r1,44319287.0,852.1,,382,844.9,805.4,374454.0,,E&M,852.2,382010,Shares,EMCO,65.0,74.93,8825.0,True,,
IL0011783342,2024-02-05,r1,45614764.0,1688.0,,1891,1680.0,1665.0,766328.0,,ECONERGY,1670.0,1178334,Shares,ECNR,79.0,108.59,6456.0,True,,
IL0011825184,2024-02-05,r1,334738500.0,88.3,2.5,1891,88.3,88.0,295574.0,2026-06-30,ECONERGY C1,88.6,1182518,Convertible Bonds,ECNR.C1,8.0,112.69,127800.0,True,,
IL0011698953,2024-02-05,r1,98425961.0,172.3,,1823,169.8,158.0,167127.0,,ECOPPIA,172.2,1169895,Shares,ECPA,9.0,5.87,3456.0,True,,
IL0011813040,2024-02-05,r1,26179993.0,0.0,3.18,1979,98.99,0.0,25916.0,2024-06-30,EFFI CAP B1,98.99,1181304,Bonds,EFCP.B1,0.0,0.0,0.0,True,,
IL0011884082,2024-02-05,r1,57300000.0,98.59,4.72,1979,98.59,98.59,56492.0,2024-12-31,EFFI CAP B2,99.21,1188408,Bonds,EFCP.B2,1.0,8.87,9000.0,True,,
IL0011997447,2024-02-05,r1,96510000.0,105.4,8.5,1979,105.12,104.83,101451.0,2027-06-30,EFFI CAP B3,104.67,1199744,Bonds,EFCP.B3,4.0,30.49,29000.0,True,,
IL0010878242,2024-02-05,r1,252783582.0,398.0,,1152,390.6,384.9,987373.0,,EL AL,395.8,1087824,Shares,ELAL,757.0,3518.28,899267.0,True,,
IL0011726838,2024-02-05,r1,903933270.0,32.9,,1152,32.6,31.5,294682.0,,EL AL W2,32.7,1172683, Warrant,ELAL.W2,21.0,57.45,177567.0,True,,
IL0011655888,2024-02-05,r1,,,3.47,1798,0.0,,,2026-12-31,ELAD RESIDEN B1,,1165588,Bonds,ELRS.B1,,,,,,
IL0010811169,2024-02-05,r1,10592438.0,399.0,,1039,395.2,399.0,41861.0,,ELBIT IMAGING-M,395.0,1081116,Shares,EMITF-M,3.0,0.12,30.0,True,,
IL0004740150,2024-02-05,r1,90715808.0,30.3,,474,32.7,30.3,29664.0,,ELBIT MEDITEC-M,34.0,474015,Shares,EMTC-M,4.0,0.65,2139.0,True,,
IL0011782351,2024-02-05,r1,1125000001.0,91.86,1.08,1040,91.8,91.52,1032750.0,2029-07-01,ELBIT SYS. B2,91.52,1178235,Bonds,ESLT.B2,208.0,3482.79,3797477.0,True,,
IL0011782500,2024-02-05,r1,150000000.0,105.55,2.12,1040,105.46,105.4,158190.0,2029-07-01,ELBIT SYS. B3,105.47,1178250,Bonds,ESLT.B3,40.0,439.78,416884.0,True,,
IL0011782682,2024-02-05,r1,171440000.0,100.61,2.67,1040,100.44,99.77,172194.0,2035-07-01,ELBIT SYS. B4,100.4,1178268,Bonds,ESLT.B4,23.0,94.2,93799.0,True,,
IL0010811243,2024-02-05,r1,44453850.0,76870.0,,1040,75510.0,75510.0,33567102.0,,ELBIT SYSTEMS,75800.0,1081124,Shares,ESLT,1236.0,33191.29,43582.0,True,,
IL0006940345,2024-02-05,r1,26911392.0,11100.0,,694,10910.0,10810.0,2936033.0,,ELCO,10830.0,694034,Shares,ELCO,256.0,1207.28,10995.0,True,,
IL0069402332,2024-02-05,r1,450113049.0,93.44,2.04,694,93.29,93.12,419910.0,2029-09-16,ELCO B13,93.44,6940233,Bonds,ELCO.B13,110.0,577.28,618570.0,True,,
IL0011553570,2024-02-05,r1,135592970.0,112.17,3.15,1636,112.15,112.14,152068.0,2024-03-31,ELDAN TRANS B5,112.16,1155357,Bonds,ELDT.B5,12.0,50.42,44957.0,True,,
IL0011616781,2024-02-05,r1,260614127.0,95.85,2.8,1636,95.67,95.66,249330.0,2026-12-30,ELDAN TRANS B6,95.7,1161678,Bonds,ELDT.B6,92.0,365.93,382278.0,True,,
